Site Timezone,5.5,Elevation,405,Is Offshore,0,WRF Region,1,,,,
Longitude,76.921875,,,,,,,,,,
Latitude,20.42926025,,,,,,,,,,
Year,Month,Day,Hour,Minute,temperature at 100m (C),wind direction at 100m (deg),wind speed at 100m (m/s),air pressure at 100m (Pa),wind speed at 80m (m/s),temperature at 80m (C),wind direction at 80m (deg)
2014,1,7,12,30,24.37,115.13,3.99,96000,3.95,24.61,114.7
2014,1,7,13,30,25.33,140.86,2.96,95940,2.92,25.57,140.34
2014,1,7,14,30,26.02,140.18,1.86,95880,1.83,26.25,139.29
2014,1,7,15,30,26.24,159.11,1.49,95830,1.46,26.46,158.53
2014,1,7,16,30,26.18,161.32,2.04,95800,2.01,26.37,160.8
2014,1,7,17,30,26,135.98,2.07,95820,2.07,26.14,134.35
2014,1,7,18,30,25.13,91.04,2.61,95820,2.56,25.11,92.41
2014,1,7,19,30,24.48,93.57,6.15,95840,5.86,24.43,96.31
2014,1,7,20,30,23.87,110.72,5.68,95880,5.51,23.85,116.36
2014,1,7,21,30,23.28,110.41,6.96,95920,6.61,23.21,114.08
2014,1,7,22,30,23.14,110.43,8.33,95920,7.84,22.99,113.72
2014,1,7,23,30,22.92,114.76,9.64,95920,9.12,22.73,117.81
2014,1,8,0,30,23.02,121.15,10.95,95920,10.51,22.79,123.43
2014,1,8,1,30,22.49,126.41,11.51,95950,10.84,22.18,128.95
2014,1,8,2,30,21.26,130.56,9.21,95940,8.09,20.53,132.81
2014,1,8,3,30,19.09,122.6,5.97,95940,4.45,18.06,120.95
2014,1,8,4,30,18.33,133.69,5.34,95970,3.91,17.43,137.85
2014,1,8,5,30,17.52,151.18,4.84,96000,3.41,16.81,155.15
2014,1,8,6,30,16.6,114.8,3.86,96010,2.84,16.02,104.91
2014,1,8,7,30,16.77,124.46,4.98,96050,3.8,16.18,122.12
2014,1,8,8,30,17.41,107.38,1.57,96140,1.53,17.61,105.48
2014,1,8,9,30,21.69,131.34,3.16,96150,3.08,21.91,130.1
2014,1,8,10,30,23.53,165.39,4.33,96140,4.28,23.77,165.28
2014,1,8,11,30,25.55,173.85,5.4,96040,5.33,25.8,173.83
2014,1,8,12,30,26.4,177.8,4.79,96040,4.73,26.65,177.79
2014,1,8,13,30,26.95,178.24,4.1,96030,4.05,27.19,178.25
2014,1,8,14,30,27.22,174.98,4.25,95940,4.2,27.45,174.99
2014,1,8,15,30,27.24,175.54,4.68,95840,4.62,27.46,175.54
2014,1,8,16,30,27.06,176.93,3.79,95820,3.73,27.26,176.81
2014,1,8,17,30,26.84,177.15,3.32,95820,3.25,26.98,176.44
2014,1,8,18,30,26.52,183.16,3.93,95840,3.95,26.6,181.54
2014,1,8,19,30,26.33,181.14,4.36,95870,4.46,26.43,179.5
2014,1,8,20,30,26.22,161.34,4.91,95910,5.07,26.33,160.32
2014,1,8,21,30,26.03,149.37,6.37,95940,6.54,26.09,149.78
2014,1,8,22,30,25.9,137.85,6.77,95930,6.92,25.98,138.84
2014,1,8,23,30,25.56,138.38,7.91,95920,8.2,25.52,139.03
2014,1,9,0,30,25.01,137,9.5,95930,9.68,24.89,136.75
2014,1,9,1,30,24.53,141.28,11.58,95940,11.71,24.36,141.4
2014,1,9,2,30,23.74,150.52,12.38,95900,12.28,23.45,151.03
2014,1,9,3,30,23.79,155.11,12.53,95880,12.43,23.5,155.23
2014,1,9,4,30,22.01,161.64,12.62,95870,11.2,21.19,161.95
2014,1,9,5,30,19.43,195.54,9.73,95830,9.14,18.6,196.67
2014,1,9,6,30,19.85,195.14,10.29,95840,9.7,19.02,193.43
2014,1,9,7,30,21.12,192.73,9.51,95880,9.07,20.09,187.52
2014,1,9,8,30,16.63,295.4,2.36,96000,2.45,16.6,310.87
2014,1,9,9,30,19.67,224.44,1.54,96050,1.49,19.89,225.79
2014,1,9,10,30,23.94,222.26,4.88,96040,4.82,24.18,222.42
2014,1,9,11,30,25.68,224.58,5.34,96000,5.28,25.92,224.58
2014,1,9,12,30,26.54,236.29,4.6,95990,4.56,26.78,236.31
2014,1,9,13,30,27.13,237.42,3.8,95940,3.76,27.37,237.48
2014,1,9,14,30,27.45,229.97,3.87,95830,3.83,27.67,230.04
2014,1,9,15,30,27.52,231.72,4.31,95740,4.26,27.74,231.76
2014,1,9,16,30,27.36,232.38,3.93,95690,3.86,27.56,232.35
2014,1,9,17,30,27.14,230.63,3.69,95680,3.59,27.28,229.93
2014,1,9,18,30,26.83,212.83,3.71,95700,3.72,26.91,210.28
2014,1,9,19,30,26.42,195.33,5.02,95720,5.15,26.41,193.65
2014,1,9,20,30,26.37,187.36,6.21,95770,6.3,26.4,186.8
2014,1,9,21,30,26.54,176.92,6.64,95770,6.78,26.64,175.54
2014,1,9,22,30,23.39,192.03,2.69,95760,2.22,22.69,198.86
2014,1,9,23,30,22.51,269.01,2.49,95770,2.58,22.35,270.72
2014,1,10,0,30,23.56,277.05,1.93,95790,1.85,23.42,272.32
2014,1,10,1,30,23.43,189.2,2.99,95830,3.1,23.32,189.94
2014,1,10,2,30,21.11,278.66,4.73,95810,4.69,20.95,277.59
2014,1,10,3,30,20.64,292.89,3.51,95770,3.4,20.24,282.92
2014,1,10,4,30,20.51,284.45,2.83,95780,2.89,20.29,270.13
2014,1,10,5,30,20.43,319.54,3.21,95670,2.97,20.12,312.49
2014,1,10,6,30,19.26,322.99,1.86,95680,1.43,19.15,314.08
2014,1,10,7,30,18.59,357.3,1.03,95760,0.79,18.56,4.25
2014,1,10,8,30,19.11,207.74,0.48,95880,0.47,19.32,209.07
2014,1,10,9,30,21.06,217.77,0.97,95910,0.94,21.28,219.74
2014,1,10,10,30,23.79,213.05,2.8,95910,2.74,24.02,213.69
2014,1,10,11,30,25.35,224.89,4.28,95880,4.22,25.58,225.06
2014,1,10,12,30,26.46,225.82,5.31,95850,5.25,26.71,225.85
